lat,lng,星级,餐厅名称
30.255507,120.169819,100,新白鹿新元华店
30.21258916,120.2108075,100,十秒到过桥米线(滨江店)
30.27488218,120.116698,84,天伦里餐厅
30.30133731,120.105613,70,呵罗餐厅(中天西城纪店)
30.17949549,120.199078,100,衢州美食
30.27024918,120.1390668,100,鸟语花香餐厅
30.23286341,120.1405204,70,诗夏精品咖啡
30.31598959,120.3307174,80,希尔顿逸林酒店E咖啡全日餐厅
30.31079747,120.3550203,80,光头温州海鲜排挡
30.17078333,120.0917065,100,清真轩东北风味
30.22163081,120.1428221,70,漫居主题度假酒店-船屋咖啡 Pirate Cafe
30.31210262,120.1020677,90,夏星酒馆(剑桥公社店)
30.13704634,120.1227616,70,HelloKitty港式甜品
29.7312829,119.6659346,60,惠涓野生鱼馆
30.29523892,120.1655515,80,朋友烧烤(河东路店)
30.21557564,120.2207604,80,青蜂(星光大道店)
30.17657918,120.27239,100,慧娟面馆(新天地旺角城店)
29.6110878,119.0614476,80,甜品来了
30.26324902,120.1832148,100,素缤纷精致素食自助式餐厅
30.2663742,120.1787003,60,甜品新语
30.18598137,120.2923426,60,胤隆国际水疗会所
30.24853408,120.1724699,70,小杨生煎(杭州西湖银泰)
30.19998537,120.196665,70,新白鹿餐厅(滨江店)
29.80645245,119.7027039,80,同路人大排档(阳光店)
30.30629261,120.1145262,80,新白鹿餐厅(城西银泰城店)
30.33120712,120.1444278,100,隐上花园餐厅(运河天地店)
30.32406471,120.1471418,60,知味观(运河店)
30.41082382,119.5735859,70,东天目山农家乐
30.24472427,120.1128944,100,悟空家素食主义餐厅(西溪湿地店)
29.612412,119.045296,80,岭上院子餐厅
30.227478,120.117433,76,天外天菜馆
30.24704853,120.1648394,84,玲珑小镇(南山路店)
30.25836318,120.1704723,90,老娘舅(延安路店)
29.60677214,119.0595142,82,北大荒淡水鱼馆(千岛湖广场店)
29.60972,119.052357,80,千岛湖聚福楼餐厅
29.6109356,119.0522968,80,碧波酒楼
30.27932293,120.1666649,60,外婆家(华浙店)
30.30428277,120.1520811,90,江南驿(运河店)
30.27739906,120.1520004,84,伊家鲜(保俶店)
30.24582291,120.177904,80,爆鳝面馆
30.25690317,120.1510851,80,COSTA COFFEE(杭州西泠)
30.37111566,119.574178,70,临安神农仙居
30.23986626,120.1631082,82,红泥砂锅大酒店(南山店)
30.26334,120.1310273,100,火狐狸(玉古店)
30.27417055,120.1530028,80,忠儿面馆(西溪路店)
30.27807974,120.1681309,80,鸟语花香•三缘酒楼
30.28384951,120.132031,90,外婆家(杭州计量大厦店)
30.25265887,120.1805932,90,小小馄饨店(火车城站店)
30.25992966,120.1691185,82,炉鱼(利星广场店)
30.24994339,120.1889943,100,大娘水饺(城站店)
30.26330566,120.0664735,80,西溪度假酒店·中餐厅
30.245855,120.173745,60,定胜糕小店
30.25319678,120.0558843,80,山葵家精致料理寿司吧(西溪印象城店)
30.27864659,120.1596339,60,浙江大学西溪校区食堂
30.29310036,120.1736984,100,蟹庭丰蟹黄汤包(新市街店)
29.78929081,119.7010039,60,桐庐窄溪野生鱼馆(桐庐店)
30.26320076,120.1660995,80,八色烤肉(湖滨店)
30.26044854,120.2189019,100,老品芳
30.25379372,120.0579453,60,弄堂里(西溪印象城店)
30.25839804,120.1513877,80,山外正味(孤山店)
30.27564473,120.0668102,70,烟水渔庄餐厅
30.27466126,120.1535051,80,可莎蜜兒(保俶路店)
30.25777311,120.1402429,100,星巴克(曲院风荷店)
30.279192,120.164033,100,纳德食尚自助餐厅
30.42554661,120.3104895,90,85度C(临平店)
29.55574258,119.1275597,90,羡山饭店
30.25128937,120.1732852,100,港丽酒家(西湖大道店)
30.27038584,120.134175,60,浙江大学六食堂
30.25810623,120.1710089,82,第二乐章（杭州湖滨银泰店）
30.30356464,120.1121361,90,东北一锅香(丰潭店)
30.26705481,120.2019803,100,咬不得高祖生煎(双菱店)
30.12866837,120.1941863,70,最忆西餐厅
30.2920584,120.1049739,80,玖点牛蛙火锅(古墩路店)
30.31571082,120.0971872,70,紫金港堕落街
30.19075775,120.170557,80,台州府(江南大道店)
30.22879226,120.4156613,60,迪欧咖啡(萧山机场店)
30.28010559,120.1677028,80,西树泡芙(杭州大厦店)
30.26170728,120.1675638,80,菲乐餐厅(白傅路店)
30.26461251,120.1672644,80,巴黎阳光西餐厅(庆春路店)
29.48044427,119.2818011,94,严州府(建德店)
30.28287,120.112022,70,竞舟野渔馆
30.27335035,120.0936329,80,悦榕庄白云中餐厅
30.23853073,120.1590246,100,浙江西子宾馆牡丹厅
30.25948828,120.1687669,100,Mulinaccio 莫里纳乔·餐厅(湖滨银泰in77店)
30.24248886,120.1121928,90,美宏馆(梅灵北路店)
30.18412627,120.2696705,70,杭州萧山众安假日酒店
30.23510604,120.0472379,70,浙江工业大学屏峰校区家和堂
30.25940399,120.1752881,80,杭州华辰国际饭店
30.25832271,120.1873026,90,吉川居酒屋
30.29949511,120.1971834,100,老李饺子馆(三里亭路店)
30.15031017,120.2357418,80,西苑跨湖楼大酒店
29.89275652,119.5413427,40,仙宾楼
30.25934338,120.1878033,80,三上料理(杭州大厦购物城店)
30.26848356,120.1411325,90,川味泡菜馆(曙光路店)
30.23107737,120.0490417,70,清真轩东北风味菜馆
30.21758776,120.176058,100,新食枫川菜
30.28186991,120.1122517,70,二十口米麦子食坊
30.20154307,120.121099,70,九溪缘烧烤
30.32369399,120.1453347,100,山葵家精致料理寿司吧(运河店)
30.24315339,120.4422591,80,麦当劳(萧山国际机场T3航站楼店)
30.06604067,119.9476896,90,一锅二吃
30.15621758,120.2364444,80,新亭子饭店(湘湖店)
30.24524307,120.1145088,90,拾年主题餐厅
30.27605568,120.1818073,80,名人名家(浙报店)
30.22755065,119.7118714,80,七欣天品蟹轩(临安万华广场店)
30.28455051,120.1318304,100,品记煲(万塘路店)
30.26554966,120.1319293,60,玉泉饭店餐厅
30.18608394,120.1557564,80,宜客乐西餐厅
30.26684337,120.1330316,80,浙大留学生餐厅
30.25780524,120.2219854,100,COSTA COFFEE(杭州万象城)
30.27343625,120.0947191,80,西溪喜来登采悦轩中餐厅
30.2502899,120.176483,60,楼外楼熟食店(后市街店)
30.25902838,120.1435553,70,香宫(杭州香格里拉饭店)
30.16945716,120.0885515,100,味港餐厅
30.25955173,120.1345096,70,玉泉游泳池茶室
30.19665745,120.1254996,80,九溪鱼乐农庄
30.27697427,120.1528019,70,衢记三宝(保俶路店)
30.28505246,120.1214297,60,阿郭冰室(华星路店)
30.28297156,120.1472761,60,浙大西溪校区美食坊
30.31728215,120.397293,70,浙江工商大学下沙食堂
30.04687455,119.9544987,80,富阳国际贸易中心大酒店中餐厅
30.28358856,120.1769974,80,肯德基(杭州钛合店)
30.26017943,120.1693697,100,满记甜品(利星店)
30.26444889,120.1899056,80,千岛湖鱼味馆(庆春店)
30.2660127,120.1672651,70,大陈羊肉串
30.29337883,120.1524968,70,西岛咖啡
30.05697417,119.9546907,70,鸡喔喔
30.30387688,120.1627029,100,鸡啤咯哒(树人店)
30.31276131,120.2687564,60,九龙饭店
30.38489994,120.1148412,60,香喔本鸡煲
30.25869373,120.1762901,70,东方金座公寓酒店-咖啡厅
30.24998572,120.2108706,70,烧烤
30.3038063,120.1625292,60,望江门小龙虾
30.1652956,120.0847695,100,印象坊餐厅
30.23884131,120.2079325,80,知味观(近江花园店)
30.25328539,120.0570873,80,BreadTalk面包新语(西溪印象城店)
30.23870087,120.134697,80,浙江宾馆-柳莺厅
30.39133802,120.2539345,60,伦纳咖啡(余杭店)
30.2544812,120.1691642,100,勇寿司专门店
30.3097496,120.1806035,70,开化钱江源鱼馆
0,0,70,知味观(亲亲家园店)
29.80072006,119.6932171,80,同路人大牌档(城中店)
30.28479958,120.1567993,80,Zoo Coffee(杭州锐明大厦旗舰店)
30.29047412,120.2175989,70,桐庐乡村土菜馆
30.32411142,120.2558694,70,忂州人家土菜馆
30.27164309,120.1426588,100,老娘舅餐厅(曙光路店)
30.31160296,120.3420682,70,江南公社
30.27364159,120.1655571,70,板栗酥饼
30.21477279,120.4031113,70,德红牛肉馆
30.28187336,120.0589019,90,杭州西溪宾馆 松露西餐厅
30.17022755,120.0930108,100,桐庐土菜馆
30.18816577,119.113582,80,龙井源山庄
30.01353775,119.9090733,70,杉林草堂
30.22494483,119.7024714,80,益红酒家(玲珑山店)
30.3463854,120.1012607,80,必胜客(杭州西田店)
30.3270092,120.3484322,70,清真西北面馆(学源街店)
30.30680084,120.1149979,100,王品牛排(城西银泰店)
29.72821052,118.7971035,70,天外天食府
30.29751205,120.104289,60,衢州饭店(古墩路冠苑店)
30.29317626,120.1323558,70,新疆乌鲁木齐囊饼
30.26957529,120.1786014,60,鲍家菜馆
30.26814993,120.2136315,60,千岛湖土菜馆·菜品每日新鲜供给
30.30886882,119.4589806,100,天目一号山里人家
30.24316444,120.1122301,70,素面馆
30.29641914,120.1151699,60,桂林仔桂林米粉
30.38449603,120.0561941,60,金华砂锅·小龙虾(良渚店)
30.28490067,120.1623001,80,粥皇餐厅(文晖店)
30.18223953,120.2744921,80,宝盛宾馆钱塘轩
30.18600464,120.1558733,70,杭州龙禧福朋喜来登宜客乐西餐厅
30.26549384,120.1967948,70,川浙会(凯旋店)
30.2708627,120.0956184,82,美泰泰国餐厅(西溪店)
30.26536187,120.1927028,50,婆婆馄饨(刀茅巷店)
30.48284288,120.1894875,80,江南阿二(塘栖店)
30.26198006,120.1676282,80,小南国（白傅路店）
30.25359535,120.1397951,70,湛碧楼
30.1907218,120.1663395,100,江南大院
30.289108,120.170006,100,似水流年餐厅
30.32213908,120.4011674,70,杭州师范大学下沙校区食堂
30.18165195,120.2737917,70,新丰小吃(北干店)
29.64595413,119.0681358,70,千岛湖鱼排
30.27770224,120.1679703,100,鱼出没自助寿司(杭州大厦购物城店)
30.24583964,120.1860909,70,老郑盐蘸牛肉(火车站店)
30.270885,120.166921,82,辣府(武林路店)
30.17386055,120.0994997,100,西北牛肉面
30.26132909,120.3200832,70,海纳西餐厅
30.3081144,120.1442439,70,葱包烩鸡蛋饼摊
30.31522917,120.3586078,90,鸡啤咯哒(下沙店)
30.37346077,120.033728,80,江南驿(良渚文化村店)
30.25411865,120.135928,70,吾舍
30.24437714,120.1307276,80,耕读堂
29.55486709,119.1295711,70,千岛湖州际度假酒店咖啡厅
30.26905081,120.1829073,90,一鸣真鲜奶吧(杭州新华路奶吧)
30.31591266,120.0972866,60,老四川(富顺豆花饭庄)
30.26083183,120.1510908,70,北山之夜美食街
30.27080281,120.2164192,100,北疆饭店(天虹购物中心店)
30.26450672,120.2278648,80,粥饭世家(庆谐店)
30.26170158,120.2274653,70,天元大厦棋府大厅
29.90794339,119.5488829,40,龙凤大酒店
30.48384286,120.1893886,70,康乾食府
30.20581468,120.2174786,80,妈妈乐餐厅
